일자,종목,거래대금,시가,고가,저가,종가,순서,시가대비저점,시가베팅,result,pnl
2025-09-05,엘앤씨바이오,2819,5.34,27.88,2.02,17.2,-0.014227642276422764,-0.03153153153153153,10,TP_ONLY,0.13
2025-06-16,디앤디파마텍,2817,3.94,9.92,-1.02,6.46,-0.001736111111111111,-0.04772727272727273,10,NONE,0.0646
2025-08-18,지투지바이오,2793,3.2,16.9,-2.13,3.77,시고저종,-0.02782193958664547,10,TP_FIRST,0.13
2025-05-13,유진로봇,2726,4.16,29.98,4.16,29.98,0,0,10,TP_ONLY,0.13
2025-05-14,로보티즈,2655,5.1,15.92,-1.02,10.82,시고저종,-0.05825242718446602,-5,TP_FIRST,0.13
2025-06-23,로보티즈,2595,3.05,3.66,-9.04,-7.57,-0.006514657980456026,손절,-5,NONE,-0.0757
2025-12-22,비츠로넥스텍,2519,4.78,10.4,-13.37,-8.52,시고저종,-0.17328042328042328,-5,SL_ONLY,-0.05
2025-04-23,신라젠,2497,4.13,14.08,-6.92,-5.22,-0.0328719723183391,-0.02097902097902098,-5,TP_ONLY,0.13
2025-05-21,세진중공업,2465,1.66,3.99,-6.73,-6.23,-0.024907749077490774,손절,-5,NONE,-0.0623
2025-04-07,코나아이,2427,0.88,7.13,-6.91,1.0,시고저종,-0.07717391304347826,-5,SL_ONLY,-0.05
2025-08-25,지투지바이오,2415,5.78,13.94,-1.81,-0.65,-0.026928675400291122,-0.002797202797202797,10,TP_ONLY,0.13
2025-07-24,SNT에너지,2388,-0.1,7.82,-1.52,3.35,0,-0.014227642276422764,10,NONE,0.0335
2025-02-24,삼성공조,2382,-1.65,21.51,-1.82,3.59,-0.01708860759493671,-0.001736111111111111,10,TP_ONLY,0.13
2025-03-10,대진첨단소재,2367,5.41,9.55,-4.85,-4.85,시고저종,-0.07128580946035976,-5,NONE,-0.048499999999999995
2025-12-12,삼표시멘트,2337,7.06,20.45,-2.04,0.19,-0.00821917808219178,-0.041666666666666664,-5,TP_ONLY,0.13
2025-06-18,콜마홀딩스,2337,0.0,26.33,0.0,7.77,-0.03571428571428571,0,10,TP_ONLY,0.13
2025-04-07,에이비엘바이오,2318,10.06,19.32,4.75,15.25,시고저종,-0.048254620123203286,10,TP_FIRST,0.13
2025-04-24,블루엠텍,2308,3.02,4.57,-8.78,-8.36,-0.003926701570680628,손절,-5,NONE,-0.0836
2025-09-23,에스투더블유,2268,3.37,26.43,2.69,21.04,-0.009445100354191263,-0.006514657980456026,10,TP_ONLY,0.13
2025-05-07,코나아이,2248,3.41,8.84,0.96,3.51,-0.027262813522355506,손절,-5,NONE,0.0351
2025-07-23,하이스틸,2237,0.0,6.92,-3.29,1.21,시고저종,-0.0328719723183391,-5,NONE,0.0121
