stk_cd,t1_dt,t1_open,entry,tp,sl,result,entry_tm,tp_tm,sl_tm,rows,data_quality
005670,20250819,8040.0,7798.8,8344.716,7486.848,TP_FIRST,20250819090100,20250819090700,20250819105400,380,OK
005745,20250411,9230.0,8953.1,9579.817000000001,8594.976,NONE_AFTER_ENTRY,20250411100000,,,15,LOW_ROWS
005745,20250416,12340.0,11969.8,12807.686,11491.007999999998,SL_ONLY,20250416100000,,20250416103000,15,LOW_ROWS
005950,20251023,9300.0,9021.0,9652.470000000001,8660.16,NO_ENTRY,,,,378,OK
005950,20251024,11990.0,11630.3,12444.421,11165.088,TP_ONLY,20251024090300,20251024095500,,380,OK
005965,20251118,21350.0,20709.5,22159.165,19881.12,SL_ONLY,20251118100000,,20251118100000,15,LOW_ROWS
005965,20251208,22000.0,21340.0,22833.800000000003,20486.399999999998,NONE_AFTER_ENTRY,20251208110000,,,15,LOW_ROWS
005965,20251217,30000.0,29100.0,31137.0,27936.0,NO_ENTRY,,,,15,LOW_ROWS
005965,20251218,39800.0,38606.0,41308.420000000006,37061.76,NO_ENTRY,,,,15,LOW_ROWS
005965,20251219,53000.0,51410.0,55008.700000000004,49353.6,SL_ONLY,20251219103000,,20251219110000,15,LOW_ROWS
006805,20251224,15940.0,15461.8,16544.126,14843.328,SL_ONLY,20251224090000,,20251224090000,380,OK
007390,20250423,34000.0,32980.0,35288.6,31660.8,TP_FIRST,20250423090000,20250423090900,20250423093400,380,OK
007680,20250422,7020.0,6809.4,7286.058,6537.023999999999,SL_ONLY,20250422090200,,20250422090300,354,OK
007815,20251118,11010.0,10679.699999999999,11427.278999999999,10252.511999999999,TP_FIRST,20251118090000,20251118090100,20251118091700,368,OK
007820,20250827,4660.0,4520.2,4836.6140000000005,4339.392,SL_ONLY,20250827090400,,20250827100600,382,OK
008290,20250902,655.0,635.35,679.8245000000001,609.936,SL_ONLY,20250902090500,,20250902095500,370,OK
008350,20251229,1320.0,1280.3999999999999,1370.028,1229.1839999999997,SL_FIRST,20251229090000,20251229103200,20251229091100,379,OK
008355,20251229,21100.0,20467.0,21899.690000000002,19648.32,NONE_AFTER_ENTRY,20251229143000,,,15,LOW_ROWS
008355,20251230,19240.0,18662.8,19969.196,17916.287999999997,NONE_AFTER_ENTRY,20251230093000,,,15,LOW_ROWS
008490,20250818,30900.0,29973.0,32071.11,28774.079999999998,SL_ONLY,20250818090200,,20250818090200,377,OK
008500,20250429,3590.0,3482.2999999999997,3726.061,3343.008,NO_ENTRY,,,,173,LOW_ROWS
008500,20250430,4900.0,4753.0,5085.71,4562.88,NO_ENTRY,,,,115,LOW_ROWS
008500,20250502,6370.0,6178.9,6611.423,5931.744,NO_ENTRY,,,,98,LOW_ROWS
008500,20250507,5510.0,5344.7,5718.829,5130.911999999999,NO_ENTRY,,,,374,OK
008500,20250807,3190.0,3094.2999999999997,3310.901,2970.528,NO_ENTRY,,,,368,OK
008500,20250926,3852.0,3736.44,3997.9908000000005,3586.9824,NO_ENTRY,,,,90,LOW_ROWS
008500,20250929,5000.0,4850.0,5189.5,4656.0,NO_ENTRY,,,,88,LOW_ROWS
008500,20250930,6500.0,6305.0,6746.35,6052.8,NO_ENTRY,,,,148,LOW_ROWS
008500,20251001,6840.0,6634.8,7099.236000000001,6369.408,NO_ENTRY,,,,371,OK
008500,20251219,4000.0,3880.0,4151.6,3724.7999999999997,SL_ONLY,20251219090200,,20251219090300,367,OK
008600,20250401,510.0,494.7,529.3290000000001,474.912,SL_FIRST,20250401090000,20250401101800,20250401090000,374,OK
008600,20250407,763.0,740.11,791.9177000000001,710.5056,NO_ENTRY,,,,376,OK
008600,20250408,1001.0,970.97,1038.9379000000001,932.1312,SL_FIRST,20250408090000,20250408095900,20250408090200,379,OK
008600,20250513,902.0,874.9399999999999,936.1858,839.9423999999999,SL_ONLY,20250513090000,,20250513090100,381,OK
008970,20250410,2601.0,2522.97,2699.5778999999998,2422.0512,SL_ONLY,20250410090000,,20250410090000,381,OK
008970,20250701,3036.0,2944.92,3151.0644,2827.1232,SL_ONLY,20250701090000,,20250701090000,382,OK
009310,20251124,1532.0,1486.04,1590.0628000000002,1426.5983999999999,SL_ONLY,20251124090200,,20251124090200,368,OK
009415,20250429,7800.0,7566.0,8095.620000000001,7263.36,NO_ENTRY,,,,13,LOW_ROWS
009415,20250430,7000.0,6790.0,7265.3,6518.4,NO_ENTRY,,,,15,LOW_ROWS
009415,20250507,9510.0,9224.699999999999,9870.429,8855.711999999998,SL_FIRST,20250507090400,20250507091400,20250507090400,365,OK
009415,20251208,8410.0,8157.7,8728.739,7831.392,NO_ENTRY,,,,13,LOW_ROWS
009415,20251209,10940.0,10611.8,11354.626,10187.328,SL_ONLY,20251209150000,,20251209150000,15,LOW_ROWS
009415,20251211,7900.0,7663.0,8199.41,7356.48,NO_ENTRY,,,,15,LOW_ROWS
009415,20251219,18900.0,18333.0,19616.31,17599.68,SL_ONLY,20251219103900,,20251219103900,342,OK
009620,20250513,3590.0,3482.2999999999997,3726.061,3343.008,SL_ONLY,20250513090000,,20250513094000,380,OK
009620,20250811,2100.0,2037.0,2179.59,1955.52,SL_ONLY,20250811090000,,20250811093300,380,OK
009730,20250724,1162.0,1127.1399999999999,1206.0398,1082.0543999999998,TP_ONLY,20250724090000,20250724090000,,379,OK
009780,20250829,12200.0,11834.0,12662.380000000001,11360.64,SL_ONLY,20250829090300,,20250829090900,379,OK
009780,20250915,13200.0,12804.0,13700.28,12291.84,SL_ONLY,20250915090100,,20250915091900,381,OK
009810,20250530,419.0,406.43,434.8801,390.1728,SL_ONLY,20250530090000,,20250530090000,380,OK
010170,20251016,1790.0,1736.3,1857.8410000000001,1666.848,TP_ONLY,20251016090000,20251016091400,,382,OK
010170,20251104,2850.0,2764.5,2958.0150000000003,2653.92,SL_ONLY,20251104094000,,20251104101900,379,OK
010580,20250613,1745.0,1692.6499999999999,1811.1354999999999,1624.9439999999997,SL_FIRST,20250613090300,20250613135100,20250613103200,375,OK
010580,20250925,2090.0,2027.3,2169.2110000000002,1946.2079999999999,NO_ENTRY,,,,269,OK
010580,20250926,3180.0,3084.6,3300.522,2961.216,AMBIGUOUS_SAME_MIN,20250926090400,20250926090400,20250926090400,373,OK
010580,20251023,3345.0,3244.65,3471.7755,3114.864,SL_ONLY,20251023091900,,20251023102500,378,OK
010770,20250404,7650.0,7420.5,7939.935,7123.679999999999,TP_FIRST,20250404090200,20250404090300,20250404110400,337,OK
010770,20250407,10030.0,9729.1,10410.137,9339.936,NO_ENTRY,,,,380,OK
010770,20250408,13300.0,12901.0,13804.070000000002,12384.96,SL_FIRST,20250408090000,20250408094500,20250408090100,377,OK
010770,20250508,6860.0,6654.2,7119.994000000001,6388.031999999999,TP_ONLY,20250508092200,20250508101100,,378,OK
010770,20250509,8490.0,8235.3,8811.771,7905.887999999999,NO_ENTRY,,,,377,OK
