code,name,lastPrice,marketCode,marketName,mrkt_tp
472350,1Q 차이나H(H),00016230,8,ETF,0
472720,TRUSTON 주주가치액티브,00026240,8,ETF,0
472830,RISE 미국30년국채커버드콜(합성),00009085,8,ETF,0
472840,ITF 200,00094765,8,ETF,0
472870,RISE 미국30년국채엔화노출(합성 H),00008055,8,ETF,0
472920,HK 종합채권(AA-이상)액티브,00101770,8,ETF,0
473290,KODEX 26-12 회사채(AA-이상)액티브,00010745,8,ETF,0
473330,SOL 미국30년국채커버드콜(합성),00009175,8,ETF,0
473440,ACE 11월만기자동연장회사채AA-이상액티브,00010690,8,ETF,0
473460,KODEX 미국서학개미,00021945,8,ETF,0
473490,KIWOOM 글로벌AI반도체,00023025,8,ETF,0
473590,ACE 미국주식베스트셀러,00019190,8,ETF,0
473640,HANARO 글로벌금채굴기업,00041470,8,ETF,0
474220,TIGER 미국테크TOP10타겟커버드콜,00014820,8,ETF,0
474390,SOL 국고채30년액티브,00048940,8,ETF,0
474590,WON 반도체밸류체인액티브,00031400,8,ETF,0
474800,KIWOOM 미국원유에너지기업,00014195,8,ETF,0
474920,에셋플러스 차이나일등기업포커스10액티브,00016785,8,ETF,0
475050,ACE KPOP포커스,00012165,8,ETF,0
475070,KoAct 글로벌친환경전력인프라액티브,00031170,8,ETF,0
475080,KODEX 테슬라커버드콜채권혼합액티브,00008590,8,ETF,0
475150,SK이터닉스,00029100,0,거래소,0
475260,ACE 2월만기자동연장회사채AA-이상액티브,00010600,8,ETF,0
475270,ACE 5월만기자동연장회사채AA-이상액티브,00010580,8,ETF,0
475280,ACE 8월만기자동연장회사채AA-이상액티브,00010570,8,ETF,0
475300,SOL 반도체전공정,00018660,8,ETF,0
475310,SOL 반도체후공정,00028650,8,ETF,0
475350,RISE 버크셔포트폴리오TOP10,00013915,8,ETF,0
475380,RISE 글로벌리얼티인컴,00011085,8,ETF,0
475560,더본코리아,00023950,0,거래소,0
475630,TIGER CD1년금리액티브(합성),01060090,8,ETF,0
475720,RISE 200위클리커버드콜,00013665,8,ETF,0
476000,UNICORN 포스트IPO액티브,00012470,8,ETF,0
476030,SOL 미국나스닥100,00015105,8,ETF,0
476070,KODEX 글로벌비만치료제TOP2 Plus,00010650,8,ETF,0
476260,HANARO 반도체핵심공정주도주,00013090,8,ETF,0
476310,RISE 글로벌비만산업TOP2+,00009420,8,ETF,0
476450,KIWOOM 머니마켓액티브,00051975,8,ETF,0
476550,TIGER 미국30년국채커버드콜액티브(H),00007665,8,ETF,0
476690,TIGER 글로벌비만치료제TOP2Plus,00010205,8,ETF,0
476750,ACE 미국30년국채엔화노출액티브(H),00008610,8,ETF,0
476760,ACE 미국30년국채액티브,00010010,8,ETF,0
476800,KODEX 한국부동산리츠인프라,00004925,8,ETF,0
476850,KoAct 배당성장액티브,00020095,8,ETF,0
477050,PLUS 머니마켓액티브,00052640,8,ETF,0
477080,RISE CD금리액티브(합성),00105945,8,ETF,0
477490,에셋플러스 글로벌일등기업포커스10액티브,00018020,8,ETF,0
477730,KODEX 인도타타그룹,00008585,8,ETF,0
478150,TIME 글로벌우주테크&방산액티브,00022115,8,ETF,0
479080,1Q 머니마켓액티브,00052890,8,ETF,0
479520,RISE KOFR금리액티브(합성),00104970,8,ETF,0
479620,SOL 미국AI반도체칩메이커,00015795,8,ETF,0
479730,TIGER 인도빌리언컨슈머,00010810,8,ETF,0
479850,HANARO K-뷰티,00016350,8,ETF,0
480020,ACE 미국빅테크7+데일리타겟커버드콜(합성),00011850,8,ETF,0
480030,ACE 미국500데일리타겟커버드콜(합성),00010395,8,ETF,0
480040,ACE 미국반도체데일리타겟커버드콜(합성),00014370,8,ETF,0
480260,TIGER 27-04회사채(A+이상)액티브,00053370,8,ETF,0
480310,TIGER 글로벌온디바이스AI,00013535,8,ETF,0
480370,씨케이솔루션,00003530,0,거래소,0
480460,WON 한국부동산TOP3플러스,00010405,8,ETF,0
481050,KODEX CD1년금리플러스액티브(합성),01021315,8,ETF,0
481060,KODEX 미국30년국채타겟커버드콜(합성 H),00008355,8,ETF,0
481180,SOL 미국AI소프트웨어,00011400,8,ETF,0
