gap_bin,entry_k,tp,sl,entered_trades,tp_cnt,sl_cnt,winrate,EV,ambig_same_min,none_after_entry,no_entry,no_minute_skipped
0~3,0.94,0.1,0.03,43,14,24,0.32558139534883723,0.016576328231963502,2,3,9,13
0~3,0.94,0.1,0.04,43,17,20,0.3953488372093023,0.02068161220768514,1,5,9,13
0~3,0.94,0.1,0.05,43,24,13,0.5581395348837209,0.039482073220706945,0,6,9,13
0~3,0.94,0.1,0.06,43,24,12,0.5581395348837209,0.03735518612591952,0,7,9,13
0~3,0.95,0.05,0.03,44,23,16,0.5227272727272727,0.01538795258158966,4,1,8,13
0~3,0.95,0.05,0.04,44,25,14,0.5681818181818182,0.015314153403271235,3,2,8,13
0~3,0.95,0.05,0.05,44,26,12,0.5909090909090909,0.014085339486971436,2,4,8,13
0~3,0.95,0.05,0.06,44,29,11,0.6590909090909091,0.016130794032425982,0,4,8,13
0~3,0.95,0.06,0.03,44,18,21,0.4090909090909091,0.010387952581589659,4,1,8,13
0~3,0.95,0.06,0.04,44,21,18,0.4772727272727273,0.011905062494180323,3,2,8,13
0~3,0.95,0.06,0.05,44,24,14,0.5454545454545454,0.01499443039606234,2,4,8,13
0~3,0.95,0.06,0.06,44,27,12,0.6136363636363636,0.017456502983295392,0,5,8,13
0~3,0.95,0.07,0.03,44,13,26,0.29545454545454547,0.003502392172001792,3,2,8,13
0~3,0.95,0.07,0.04,44,17,21,0.38636363636363635,0.007974047539137911,3,3,8,13
0~3,0.95,0.07,0.05,44,20,17,0.45454545454545453,0.011063415441019929,2,5,8,13
0~3,0.95,0.07,0.06,44,26,12,0.5909090909090909,0.022389124391889344,0,6,8,13
0~3,0.95,0.08,0.03,44,13,26,0.29545454545454547,0.006456937626547246,3,2,8,13
0~3,0.95,0.08,0.04,44,17,21,0.38636363636363635,0.011837683902774272,3,3,8,13
0~3,0.95,0.08,0.05,44,20,17,0.45454545454545453,0.015608869986474472,2,5,8,13
0~3,0.95,0.08,0.06,44,26,12,0.5909090909090909,0.028298215300980253,0,6,8,13
0~3,0.95,0.09,0.03,44,11,29,0.25,0.003275119444729062,2,2,8,13
0~3,0.95,0.09,0.04,44,15,24,0.3409090909090909,0.008883138448228816,2,3,8,13
0~3,0.95,0.09,0.05,44,18,20,0.4090909090909091,0.012654324531929016,1,5,8,13
0~3,0.95,0.09,0.06,44,25,13,0.5681818181818182,0.030798215300980248,0,6,8,13
0~3,0.95,0.1,0.03,44,8,32,0.18181818181818182,-0.001153286645171994,0,4,8,13
0~3,0.95,0.1,0.04,44,11,27,0.25,0.00215134776211812,0,6,8,13
0~3,0.95,0.1,0.05,44,13,23,0.29545454545454547,0.003649806573091048,0,8,8,13
0~3,0.95,0.1,0.06,44,19,16,0.4318181818181818,0.02043006097850592,0,9,8,13
0~3,0.96,0.05,0.03,45,15,26,0.3333333333333333,-0.0006666666666666651,4,0,7,13
0~3,0.96,0.05,0.04,45,21,19,0.4666666666666667,0.006368435599778884,4,1,7,13
0~3,0.96,0.05,0.05,45,24,16,0.5333333333333333,0.008070176209646705,3,2,7,13
0~3,0.96,0.05,0.06,45,27,13,0.6,0.01063789199410069,2,3,7,13
0~3,0.96,0.06,0.03,45,12,30,0.26666666666666666,-0.004,3,0,7,13
0~3,0.96,0.06,0.04,45,17,23,0.37777777777777777,0.002289351684946177,3,2,7,13
0~3,0.96,0.06,0.05,45,20,19,0.4444444444444444,0.004879981183702886,3,3,7,13
0~3,0.96,0.06,0.06,45,23,16,0.5111111111111111,0.007447696968156872,2,4,7,13
0~3,0.96,0.07,0.03,45,11,31,0.24444444444444444,-0.003555555555555553,3,0,7,13
0~3,0.96,0.07,0.04,45,17,23,0.37777777777777777,0.006067129462723959,3,2,7,13
0~3,0.96,0.07,0.05,45,20,19,0.4444444444444444,0.009324425628147334,3,3,7,13
0~3,0.96,0.07,0.06,45,23,16,0.5111111111111111,0.012558808079267986,2,4,7,13
0~3,0.96,0.08,0.03,45,7,36,0.15555555555555556,-0.011555555555555553,2,0,7,13
0~3,0.96,0.08,0.04,45,14,27,0.3111111111111111,0.000956018351612845,2,2,7,13
0~3,0.96,0.08,0.05,45,16,24,0.35555555555555557,0.001102203405925109,2,3,7,13
0~3,0.96,0.08,0.06,45,19,21,0.4222222222222222,0.003892141412601318,1,4,7,13
0~3,0.96,0.09,0.03,45,5,40,0.1111111111111111,-0.016666666666666666,0,0,7,13
0~3,0.96,0.09,0.04,45,10,31,0.2222222222222222,-0.006078874577967347,0,4,7,13
0~3,0.96,0.09,0.05,45,13,26,0.28888888888888886,-0.0026359644338764467,0,6,7,13
0~3,0.96,0.09,0.06,45,15,23,0.3333333333333333,-0.0016238042049780154,0,7,7,13
0~3,0.96,0.1,0.03,45,3,41,0.06666666666666667,-0.01974074074074074,0,1,7,13
0~3,0.96,0.1,0.04,45,8,32,0.17777777777777778,-0.008264059763152531,0,5,7,13
0~3,0.96,0.1,0.05,45,11,27,0.24444444444444444,-0.004376705174617185,0,7,7,13
0~3,0.96,0.1,0.06,45,13,24,0.28888888888888886,-0.0031423227234965313,0,8,7,13
0~3,0.97,0.05,0.03,47,14,30,0.2978723404255319,-0.0042553191489361685,3,0,5,13
0~3,0.97,0.05,0.04,47,17,27,0.3617021276595745,-0.004893617021276595,3,0,5,13
0~3,0.97,0.05,0.05,47,22,20,0.46808510638297873,0.0017525771614317809,3,2,5,13
0~3,0.97,0.05,0.06,47,25,17,0.5319148936170213,0.0045185346082402935,3,2,5,13
0~3,0.97,0.06,0.03,47,13,31,0.2765957446808511,-0.0031914893617021275,3,0,5,13
0~3,0.97,0.06,0.04,47,16,28,0.3404255319148936,-0.0034042553191489374,3,0,5,13
0~3,0.97,0.06,0.05,47,22,20,0.46808510638297873,0.006433428225261566,3,2,5,13
0~3,0.97,0.06,0.06,47,25,17,0.5319148936170213,0.009837683544410504,3,2,5,13
0~3,0.97,0.07,0.03,47,9,37,0.19148936170212766,-0.010212765957446806,1,0,5,13
0~3,0.97,0.07,0.04,47,12,34,0.2553191489361702,-0.01106382978723404,1,0,5,13
0~3,0.97,0.07,0.05,47,18,25,0.3829787234042553,0.0005947502846217438,1,3,5,13
0~3,0.97,0.07,0.06,47,20,23,0.425531914893617,0.0008075162420685552,1,3,5,13
0~3,0.97,0.08,0.03,47,7,40,0.14893617021276595,-0.013617021276595743,0,0,5,13
0~3,0.97,0.08,0.04,47,9,38,0.19148936170212766,-0.01702127659574468,0,0,5,13
0~3,0.97,0.08,0.05,47,14,29,0.2978723404255319,-0.006499394204171731,0,4,5,13
0~3,0.97,0.08,0.06,47,17,25,0.3617021276595745,-0.003132021449654574,0,5,5,13
0~3,0.97,0.09,0.03,47,6,40,0.1276595744680851,-0.01262988221704824,0,1,5,13
0~3,0.97,0.09,0.04,47,6,39,0.1276595744680851,-0.019631417641483427,0,2,5,13
0~3,0.97,0.09,0.05,47,11,30,0.23404255319148937,-0.008258471420123243,0,6,5,13
0~3,0.97,0.09,0.06,47,14,26,0.2978723404255319,-0.0044655667507124686,0,7,5,13
0~3,0.97,0.1,0.03,47,6,40,0.1276595744680851,-0.011353286472367389,0,1,5,13
0~3,0.97,0.1,0.04,47,6,39,0.1276595744680851,-0.018354821896802574,0,2,5,13
0~3,0.97,0.1,0.05,47,10,31,0.2127659574468085,-0.009109535249910474,0,6,5,13
0~3,0.97,0.1,0.06,47,13,27,0.2765957446808511,-0.004891098665606083,0,7,5,13
3~7,0.94,0.05,0.03,73,17,46,0.2328767123287671,-0.007192506171071934,5,5,11,20
3~7,0.94,0.05,0.04,73,22,38,0.3013698630136986,-0.005895435933152736,4,9,11,20
3~7,0.94,0.05,0.05,73,30,30,0.410958904109589,-0.002302510280915665,0,13,11,20
3~7,0.94,0.05,0.06,73,33,25,0.4520547945205479,-0.00020678682548666574,0,15,11,20
3~7,0.94,0.06,0.03,73,14,49,0.1917808219178082,-0.008562369184770564,5,5,11,20
3~7,0.94,0.06,0.04,73,19,41,0.2602739726027397,-0.006991326344111641,4,9,11,20
3~7,0.94,0.06,0.05,73,27,32,0.3698630136986301,-0.002485777113042364,0,14,11,20
3~7,0.94,0.06,0.06,73,30,27,0.410958904109589,-0.0002530673562435013,0,16,11,20
3~7,0.94,0.07,0.03,73,13,52,0.1780821917808219,-0.008836341787510289,3,5,11,20
3~7,0.94,0.07,0.04,73,18,44,0.2465753424657534,-0.0069913263441116385,2,9,11,20
3~7,0.94,0.07,0.05,73,25,34,0.3424657534246575,-0.0020748182089327717,0,14,11,20
3~7,0.94,0.07,0.06,73,28,29,0.3835616438356164,0.0002948778492359542,0,16,11,20
3~7,0.94,0.08,0.03,73,11,54,0.1506849315068493,-0.010069218499839057,3,5,11,20
3~7,0.94,0.08,0.04,73,17,45,0.2328767123287671,-0.006169408535892462,2,9,11,20
3~7,0.94,0.08,0.05,73,24,35,0.3287671232876712,-0.00043098259249441735,0,14,11,20
3~7,0.94,0.08,0.06,73,27,30,0.3698630136986301,0.0022126860684140346,0,16,11,20
3~7,0.94,0.09,0.03,73,10,56,0.136986301369863,-0.010617163705318509,2,5,11,20
3~7,0.94,0.09,0.04,73,15,48,0.2054794520547945,-0.007950230453700682,1,9,11,20
3~7,0.94,0.09,0.05,73,22,37,0.3013698630136986,-0.000978927797973871,0,14,11,20
3~7,0.94,0.09,0.06,73,24,32,0.3287671232876712,0.0007676610626716875,0,17,11,20
3~7,0.94,0.1,0.03,73,10,56,0.136986301369863,-0.009247300691619878,2,5,11,20
3~7,0.94,0.1,0.04,73,14,48,0.1917808219178082,-0.0067332373450720885,1,10,11,20
3~7,0.94,0.1,0.05,73,21,37,0.2876712328767123,0.0011969694202437643,0,15,11,20
3~7,0.94,0.1,0.06,73,23,32,0.3150684931506849,0.0032175308836290494,0,18,11,20
3~7,0.95,0.05,0.03,74,26,40,0.35135135135135137,0.0015008471428183145,7,1,10,20
3~7,0.95,0.05,0.04,74,29,35,0.3918918918918919,3.0586437283693544e-05,5,5,10,20
3~7,0.95,0.05,0.05,74,33,28,0.44594594594594594,0.0019595332328173403,4,9,10,20
3~7,0.95,0.05,0.06,74,40,21,0.5405405405405406,0.00606585651238677,0,13,10,20
3~7,0.95,0.06,0.03,74,22,46,0.2972972972972973,-0.0006613150193438493,5,1,10,20
3~7,0.95,0.06,0.04,74,25,41,0.33783783783783783,-0.002536981130283876,3,5,10,20
3~7,0.95,0.06,0.05,74,31,32,0.4189189189189189,0.0020946683679524732,2,9,10,20
3~7,0.95,0.06,0.06,74,37,24,0.5,0.0066063970529273075,0,13,10,20
3~7,0.95,0.07,0.03,74,18,52,0.24324324324324326,-0.0039045582625870903,3,1,10,20
3~7,0.95,0.07,0.04,74,21,45,0.28378378378378377,-0.005104548697851441,3,5,10,20
