stk_cd,t1_dt,tried
014580,20230623,014580|014580_NX|014580_AL
014710,20240617,014710|014710_NX|014710_AL
014710,20240709,014710|014710_NX|014710_AL
014710,20250124,014710|014710_NX|014710_AL
014910,20230504,014910|014910_NX|014910_AL
014910,20230508,014910|014910_NX|014910_AL
014990,20230522,014990|014990_NX|014990_AL
014990,20230614,014990|014990_NX|014990_AL
014990,20240716,014990|014990_NX|014990_AL
014990,20240718,014990|014990_NX|014990_AL
014990,20241128,014990|014990_NX|014990_AL
015020,20241205,015020|015020_NX|015020_AL
015020,20241209,015020|015020_NX|015020_AL
015020,20241210,015020|015020_NX|015020_AL
015020,20241211,015020|015020_NX|015020_AL
015710,20230112,015710|015710_NX|015710_AL
015710,20230822,015710|015710_NX|015710_AL
015710,20240911,015710|015710_NX|015710_AL
015890,20230821,015890|015890_NX|015890_AL
015890,20230822,015890|015890_NX|015890_AL
016100,20230811,016100|016100_NX|016100_AL
016100,20240402,016100|016100_NX|016100_AL
016100,20240709,016100|016100_NX|016100_AL
016450,20241014,016450|016450_NX|016450_AL
016450,20241015,016450|016450_NX|016450_AL
016670,20230623,016670|016670_NX|016670_AL
016670,20240322,016670|016670_NX|016670_AL
016670,20241029,016670|016670_NX|016670_AL
016740,20230517,016740|016740_NX|016740_AL
016740,20230602,016740|016740_NX|016740_AL
016790,20230323,016790|016790_NX|016790_AL
016790,20230331,016790|016790_NX|016790_AL
016790,20231004,016790|016790_NX|016790_AL
016880,20230210,016880|016880_NX|016880_AL
016880,20231116,016880|016880_NX|016880_AL
016880,20240522,016880|016880_NX|016880_AL
016920,20241205,016920|016920_NX|016920_AL
016920,20241210,016920|016920_NX|016920_AL
016920,20241211,016920|016920_NX|016920_AL
017000,20240812,017000|017000_NX|017000_AL
017370,20230728,017370|017370_NX|017370_AL
017510,20240508,017510|017510_NX|017510_AL
017510,20240611,017510|017510_NX|017510_AL
017510,20250114,017510|017510_NX|017510_AL
017860,20241029,017860|017860_NX|017860_AL
017860,20241112,017860|017860_NX|017860_AL
017860,20241126,017860|017860_NX|017860_AL
017900,20240110,017900|017900_NX|017900_AL
018000,20230608,018000|018000_NX|018000_AL
018000,20240307,018000|018000_NX|018000_AL
018000,20241129,018000|018000_NX|018000_AL
018310,20240305,018310|018310_NX|018310_AL
018500,20241212,018500|018500_NX|018500_AL
018500,20241213,018500|018500_NX|018500_AL
018500,20241224,018500|018500_NX|018500_AL
018500,20250103,018500|018500_NX|018500_AL
018680,20240718,018680|018680_NX|018680_AL
018680,20240809,018680|018680_NX|018680_AL
019170,20230728,019170|019170_NX|019170_AL
019170,20240813,019170|019170_NX|019170_AL
019175,20230728,019175|019175_NX|019175_AL
019175,20231206,019175|019175_NX|019175_AL
019175,20240325,019175|019175_NX|019175_AL
019175,20240326,019175|019175_NX|019175_AL
019175,20240813,019175|019175_NX|019175_AL
019490,20231102,019490|019490_NX|019490_AL
019490,20231108,019490|019490_NX|019490_AL
019490,20240910,019490|019490_NX|019490_AL
019490,20240911,019490|019490_NX|019490_AL
019490,20240912,019490|019490_NX|019490_AL
019490,20240913,019490|019490_NX|019490_AL
019490,20240923,019490|019490_NX|019490_AL
019490,20250211,019490|019490_NX|019490_AL
019570,20240813,019570|019570_NX|019570_AL
019570,20250228,019570|019570_NX|019570_AL
019660,20230420,019660|019660_NX|019660_AL
019660,20231213,019660|019660_NX|019660_AL
019660,20241120,019660|019660_NX|019660_AL
019660,20241125,019660|019660_NX|019660_AL
019660,20250116,019660|019660_NX|019660_AL
